twotheta, intensity, esd
45.691, 246.673869327, 15.5068093451
45.692, 283.984465728, 16.6456813677
45.693, 230.883620213, 14.9961946781
45.694, 284.478773731, 16.6460720065
45.695, 281.216184052, 16.5690662251
45.696, 242.746483388, 15.3820236459
45.697, 273.65802869, 16.3525100301
45.698, 283.743049688, 16.6315308244
45.699, 288.849481745, 16.787206207
45.7, 215.213273841, 14.475634004
45.701, 247.702850698, 15.540806328
45.702, 267.076272702, 16.1330407215
45.703, 273.140411384, 16.321579667
45.704, 265.108827291, 16.1026082556
45.705, 282.552585627, 16.5902883366
45.706, 251.526840006, 15.6578902314
45.707, 271.257419388, 16.2672744261
45.708, 251.787441307, 15.6741130192
45.709, 266.923545231, 16.1533247969
45.71, 263.881875767, 16.0577438063
45.711, 276.882442745, 16.4572386184
45.712, 261.757239858, 15.9877912616
45.713, 248.720937271, 15.5740475877
45.714, 251.717174353, 15.6697388051
45.715, 278.960972854, 16.493571935
45.716, 258.280514496, 15.8945224004
45.717, 255.222017663, 15.796328869
45.718, 270.677359677, 16.2617684249
45.719, 239.398273081, 15.2932156144
45.72, 259.637449893, 15.9178350594
45.721, 272.950742748, 16.310245966
45.722, 221.779471937, 14.7187908529
45.723, 259.086149682, 15.9139835001
45.724, 274.44819899, 16.3705138293
45.725, 243.535299756, 15.4320082712
45.726, 265.4544865, 16.0939312704
45.727, 251.034367815, 15.6576125858
45.728, 238.483772599, 15.2659881308
45.729, 268.856289378, 16.2110034591
45.73, 273.923101311, 16.3683495167
45.731, 266.104467753, 16.1333382277
45.732, 259.953581362, 15.937216426
45.733, 252.907461492, 15.7134071263
45.734, 272.216599907, 16.324796365
45.735, 257.808103437, 15.8654503344
45.736, 265.563546919, 16.1005433677
45.737, 265.697678571, 16.1086754796
45.738, 266.466380072, 16.1256586826
45.739, 266.03145436, 16.1289115837
45.74, 248.374366836, 15.5829370594
45.741, 271.827143859, 16.3014407332
45.742, 259.99131727, 15.9395299364
45.743, 252.301445256, 15.7061104689
45.744, 269.480541038, 16.2191748113
45.745, 245.077749691, 15.4677414705
45.746, 264.359401276, 16.0868021957
45.747, 251.667884928, 15.69712656
45.748, 258.011839668, 15.8779882144
45.749, 236.437749174, 15.1974405568
45.75, 263.507178378, 16.0349427153
45.751, 283.272190205, 16.6325404626
